rank,player,country,points,record,owr,oowp,deck,player_url
246,Satoshi Matsui,US,27,8 - 3 - 3,60.51%,59.68%,ogerpon,https://play.limitlesstcg.net/0070/player/3163
247,David Dong,US,27,9 - 5 - 0,60.33%,59.74%,dragapult,https://play.limitlesstcg.net/0070/player/1019
248,Nathaniel Lamar,US,27,9 - 5 - 0,60.31%,58.91%,dipplin,https://play.limitlesstcg.net/0070/player/0940
249,Mehdi Hafi,FR,27,8 - 3 - 3,59.66%,57.71%,dipplin,https://play.limitlesstcg.net/0070/player/1727
250,Shinichi Yoneda,JP,27,8 - 3 - 3,59.57%,53.81%,dragapult,https://play.limitlesstcg.net/0070/player/1600
251,George Cameron,US,27,9 - 5 - 0,59.44%,59.05%,dragapult,https://play.limitlesstcg.net/0070/player/0368
252,Drew Cate,US,27,8 - 3 - 3,59.38%,56.88%,metagross,https://play.limitlesstcg.net/0070/player/0753
253,Jesus Bautista,US,27,8 - 3 - 3,58.64%,59.06%,zoroark,https://play.limitlesstcg.net/0070/player/2310
254,Samuel Gay,US,27,8 - 3 - 3,58.50%,58.94%,dragapult,https://play.limitlesstcg.net/0070/player/0253
255,Daniel Tanney,US,27,8 - 3 - 3,58.50%,55.83%,dragapult,https://play.limitlesstcg.net/0070/player/2764
256,Juan Mora,US,27,8 - 3 - 3,58.35%,58.13%,dragapult,https://play.limitlesstcg.net/0070/player/1198
257,Matt Chuang,US,27,9 - 5 - 0,58.34%,58.45%,dragapult,https://play.limitlesstcg.net/0070/player/1592
258,Alexys Rodriguez,US,27,9 - 5 - 0,57.71%,58.24%,dragapult,https://play.limitlesstcg.net/0070/player/1210
259,David Zheng,US,27,8 - 3 - 3,57.40%,59.92%,dragapult,https://play.limitlesstcg.net/0070/player/3588
260,Julio Curiel,MX,27,9 - 5 - 0,57.35%,57.62%,slowking,https://play.limitlesstcg.net/0070/player/2231
261,Ashish Puri,CA,27,8 - 3 - 3,57.04%,56.60%,ogerpon,https://play.limitlesstcg.net/0070/player/1798
262,Jason Schmidt,US,27,8 - 3 - 3,56.95%,61.32%,metagross,https://play.limitlesstcg.net/0070/player/2739
263,Christian Fontenot,DK,27,9 - 5 - 0,56.82%,59.16%,alakazam,https://play.limitlesstcg.net/0070/player/0290
264,Marc Perry,US,27,8 - 3 - 3,56.70%,56.86%,dragapult,https://play.limitlesstcg.net/0070/player/1685
265,Toni Ibarra,US,27,9 - 5 - 0,56.54%,59.56%,dragapult,https://play.limitlesstcg.net/0070/player/2457
266,Fernando Lopez,CL,27,9 - 5 - 0,56.27%,57.08%,ogerpon,https://play.limitlesstcg.net/0070/player/0560
267,Kaleb Jacobson,US,27,8 - 3 - 3,55.08%,57.55%,dragapult,https://play.limitlesstcg.net/0070/player/2032
268,Juan Cardenas,US,27,8 - 3 - 3,54.51%,56.84%,garchomp,https://play.limitlesstcg.net/0070/player/0570
269,Francesco Moscillo,CA,27,8 - 3 - 3,53.78%,54.54%,dragapult,https://play.limitlesstcg.net/0070/player/0691
270,Jaime Garcia,CA,27,8 - 3 - 3,52.53%,55.89%,dragapult,https://play.limitlesstcg.net/0070/player/1451
271,Toby Clark,UK,26,8 - 4 - 2,64.33%,58.90%,raging-bolt,https://play.limitlesstcg.net/0070/player/3288
272,Brooke English,US,26,8 - 4 - 2,64.22%,57.59%,dragapult,https://play.limitlesstcg.net/0070/player/2803
273,Yunrong Cai,US,26,8 - 4 - 2,63.60%,57.12%,dragapult,https://play.limitlesstcg.net/0070/player/1456
274,Guillermo Barrios,MX,26,8 - 4 - 2,62.65%,58.22%,dragapult,https://play.limitlesstcg.net/0070/player/3254
275,Patrick Rampton,US,26,8 - 4 - 2,62.56%,55.42%,crustle,https://play.limitlesstcg.net/0070/player/2978
276,Nathan Brower,US,26,8 - 4 - 2,62.07%,58.64%,honchkrow,https://play.limitlesstcg.net/0070/player/2236
277,jace lavi,US,26,8 - 4 - 2,61.73%,56.03%,dragapult,https://play.limitlesstcg.net/0070/player/3541
278,Ryan Miller,US,26,8 - 4 - 2,61.35%,61.33%,dragapult,https://play.limitlesstcg.net/0070/player/0805
279,Simone Canziani,IT,26,7 - 2 - 5,61.29%,58.30%,dragapult,https://play.limitlesstcg.net/0070/player/1961
280,Vincent Vuong,CA,26,8 - 4 - 2,61.10%,59.49%,alakazam,https://play.limitlesstcg.net/0070/player/0928
281,Grant Manley,US,26,8 - 4 - 2,61.03%,58.55%,dragapult,https://play.limitlesstcg.net/0070/player/3049
282,Michael Jelderian,CA,26,8 - 4 - 2,60.91%,54.24%,dragapult,https://play.limitlesstcg.net/0070/player/0621
283,HARUTO FUJITA,JP,26,8 - 4 - 2,60.84%,59.41%,dragapult,https://play.limitlesstcg.net/0070/player/1367
284,Matthew DePonceau,US,26,8 - 4 - 2,60.84%,57.98%,lucario-mega,https://play.limitlesstcg.net/0070/player/2629
285,Oziel Cuellar,US,26,8 - 4 - 2,60.84%,57.96%,dragapult,https://play.limitlesstcg.net/0070/player/0167
286,Hunter Butler,US,26,8 - 4 - 2,60.76%,58.07%,dragapult,https://play.limitlesstcg.net/0070/player/2079
287,Matthew Mahon,US,26,8 - 4 - 2,60.71%,57.48%,dragapult,https://play.limitlesstcg.net/0070/player/0922
288,James Harding,US,26,8 - 4 - 2,60.71%,57.11%,dragapult,https://play.limitlesstcg.net/0070/player/1243
289,Micah Olton,US,26,8 - 4 - 2,60.69%,57.25%,dragapult,https://play.limitlesstcg.net/0070/player/2494
290,Stuart Sakaluk,CA,26,7 - 2 - 5,60.57%,54.82%,dragapult,https://play.limitlesstcg.net/0070/player/3497
291,Justin Brothers,US,26,8 - 4 - 2,60.51%,57.63%,zoroark,https://play.limitlesstcg.net/0070/player/1752
292,Matthew Wood,CA,26,8 - 4 - 2,60.27%,58.12%,honchkrow,https://play.limitlesstcg.net/0070/player/0489
293,Jonathan Ruiz,EC,26,8 - 4 - 2,60.11%,58.73%,zoroark,https://play.limitlesstcg.net/0070/player/3426
294,Ethan Wray,US,26,8 - 4 - 2,60.10%,56.41%,dragapult,https://play.limitlesstcg.net/0070/player/0852
295,Aidan Khus,US,26,8 - 4 - 2,60.08%,59.63%,dragapult,https://play.limitlesstcg.net/0070/player/0499
296,Daniel Zhou,CA,26,8 - 4 - 2,59.22%,57.23%,dragapult,https://play.limitlesstcg.net/0070/player/0483
297,Victor Lam,CA,26,8 - 4 - 2,59.14%,57.63%,metagross,https://play.limitlesstcg.net/0070/player/2818
298,Alex Cowen,CA,26,8 - 4 - 2,58.95%,56.08%,dragapult,https://play.limitlesstcg.net/0070/player/1319
299,Nathaniel Dungey,US,26,8 - 4 - 2,58.95%,57.65%,alakazam,https://play.limitlesstcg.net/0070/player/3622
300,Anon Cheewakarn,US,26,8 - 4 - 2,58.95%,57.12%,dragapult,https://play.limitlesstcg.net/0070/player/1893
301,Nicholas Moffitt,US,26,8 - 4 - 2,58.92%,57.58%,dragapult,https://play.limitlesstcg.net/0070/player/1585
